ligand,sender_evidence_level,baseline_sender_robustness,paracrine_scope,licensing_context,best_phase4a_tier,tier_A_axis_n,tier_B_axis_n,tier_C_axis_n,receptor_competent_module_n,target_compatible_module_n,reversal_supported_module_n,disease_concordant_module_n,mixed_signed_direction_across_modules,disease_concordant_modules,tier_A_modules,tier_B_modules,interpretation,ordering_rule,source_url
ADAM17,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,1,1,1,6,5,2,3,YES,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_10,PROGRAM_MODULE_07,PROGRAM_MODULE_04,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
AGRN,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,NO_CLEAR_LICENSING_EFFECT,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,2,1,1,6,5,3,2,YES,PROGRAM_MODULE_07;PROGRAM_MODULE_10,PROGRAM_MODULE_01;PROGRAM_MODULE_05,PROGRAM_MODULE_04,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
COL18A1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,1,0,1,6,5,2,4,YES,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_06,PROGRAM_MODULE_07,,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
DCN,S1,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,LICENSING_CONSISTENT_UP,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,4,0,1,6,5,6,0,NO,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
ENPP1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,2,0,1,6,5,4,2,YES,PROGRAM_MODULE_05;PROGRAM_MODULE_07,PROGRAM_MODULE_01;PROGRAM_MODULE_04,,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
FURIN,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,2,0,1,6,5,2,4,YES,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_06;PROGRAM_MODULE_10,PROGRAM_MODULE_05;PROGRAM_MODULE_07,,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
GDF11,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,1,0,1,6,5,2,3,YES,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_07,PROGRAM_MODULE_05,,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
GRN,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,4,0,1,6,5,6,0,NO,,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
HSPG2,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,3,1,1,6,5,4,1,YES,PROGRAM_MODULE_10,PROGRAM_MODULE_01;PROGRAM_MODULE_05;PROGRAM_MODULE_07,PROGRAM_MODULE_04,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
MDK,S1,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,LICENSING_CONSISTENT_UP,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,4,0,1,6,5,5,1,YES,PROGRAM_MODULE_10,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05;PROGRAM_MODULE_07,,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
NAMPT,S1,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,LICENSING_CONSISTENT_UP,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,2,0,1,6,5,2,4,YES,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_06;PROGRAM_MODULE_10,PROGRAM_MODULE_05;PROGRAM_MODULE_07,,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
NID1,S2,ROBUST_BASELINE_SENDER,P1_PARACRINE_CORE,PASSAGE_DEPENDENT,TIER_A_DIRECTIONAL_RESCUE_CANDIDATE,1,3,1,6,5,3,0,NO,,PROGRAM_MODULE_07,PROGRAM_MODULE_01;PROGRAM_MODULE_04;PROGRAM_MODULE_05,COMPUTATIONAL_HIERARCHY_NOT_THERAPEUTIC_PROOF,tier then ligand symbol; S1 is not ranked above S2,config/phase4a_analysis.json|NicheNet:Zenodo:7074291|OmniPath:2026-08-15|CollecTRI:2026-08-15|CytoSig:2026-08-15
