phase,scientific_question,datasets,biological_replication_unit,primary_method,prespecified_rule,gate,key_result,limitation,result_status,source_url
0A,Initial public-data feasibility and overlap audit,13 GEO candidates including PE bulk/scRNA and hUC-MSC datasets,dataset/biological subject,Programmatic GEO/SRA/publication metadata audit,Traceable evidence; no guessed metadata; no overlap counted as independent,GO_WITH_MODIFICATIONS,Repository and auditable registries established; GSE75010 overlap and GSE234729 discrepancies exposed,Candidate PE scRNA search was incomplete and was superseded by Phase 0B,FROZEN_HISTORICAL,docs/DATASET_AUDIT_REPORT.md
0B,Rescue PE scRNA availability and audit sender redundancy,"Admati resources, GSE290578, Yang/Jiao/Zhang candidates, normal atlas, GSE182158/GSE199071/GSE117837",independent pregnancy/donor,Systematic repository and donor-identity audit,PRIMARY_PE_SCRNA requires accessible expression plus recoverable donor identity and valid comparison,GO_TO_PHASE1_WITH_RESTRICTIONS,Admati public matrix with 26 recoverable donors selected; sender redundancy documented,The nominal 78-subject preprint cohort was not reusable as the primary public analysis object,ACTIVE_FOUNDATION,docs/DATASET_AUDIT_PHASE0B_REPORT.md
1A,Freeze independent placental bulk cohorts and statistical design,"GSE75010_BIOBANK, GSE30186, GSE10588, GSE24129, GSE25906, GSE43942",pregnancy/sample,Cohort-specific preprocessing/QC and overlap freeze,Independent cohorts analyzed separately; no cross-study pooling or ComBat,GO_TO_PHASE1B_WITH_RESTRICTIONS,Six independent core cohorts frozen for cohort-wise synthesis,Clinical covariates and gestational-age matching were incomplete and heterogeneous,ACTIVE_FOUNDATION,docs/PHASE1A_BULK_DATA_FREEZE_REPORT.md
1A.1,Correct preprocessing and freeze comparable primary estimands,Six Phase 1A core cohorts,pregnancy/sample,Raw-versus-processed audit; platform-appropriate reconstruction; formula freeze,No universal abs(meta log2FC)>=0.25 cutoff; retain all 18 QC flags,GO_TO_PHASE1B_WITH_RESTRICTIONS,GSE30186 reconstructed without arbitrary shift-log; defensible matrices/formulas frozen,Several historical platforms required submitted processed matrices,ACTIVE_FOUNDATION,docs/PHASE1A1_PREPROCESSING_AMENDMENT.md
1B,Test for a stable gene-level PE signature across cohorts,Six Phase 1A.1 core cohorts,pregnancy/sample,Cohort-wise limma plus REML random-effects meta-analysis and leave-one-cohort-out,"FDR<0.05, >=75% direction, I2<=60%, LOO direction retained and >=80% LOO FDR<0.10",NO_GO,"17,731 genes estimable in >=4 cohorts; zero meta-FDR significant and zero STABLE genes",Cross-platform heterogeneity and limited covariate comparability precluded a universal gene signature,FROZEN_NEGATIVE,docs/PHASE1B_PE_DISEASE_SIGNATURE_REPORT.md
2A,Discover patient-level cell-state PE programs,Admati public single-cell expression layer,pregnancy within cell type,Legacy edgeR pseudobulk and cameraPR,Subtype-stratified EOPE/LOPE; frozen donor eligibility,GO_TO_PHASE2B_WITH_RESTRICTIONS (historical),20 SHARED_PE hypotheses and subtype-specific programs were generated,"Public layer was normalized-to-about-10,000 and ceiled, not unmodified raw UMI counts",LEGACY_COUNT_MODEL_DISCOVERY,docs/PHASE2A_PE_CELLSTATE_DISEASE_PROGRAM_REPORT.md
2A.1,Stress-test legacy receiver hypotheses and audit confounding,Admati plus Yang LOPE placenta,pregnancy within cell type,"Clinical overlap tests, frozen-program scores, restricted sensitivities, Yang targeted replication",Do not refit non-estimable confounders or rediscover pathways,REVISE_RECEIVER_FRAMEWORK,Delivery/IUGR positivity failures documented; partial Yang directional evidence; expression-layer contradiction confirmed,EOPE delivery mode and induction remained non-identifiable,FROZEN_DIAGNOSTIC,docs/PHASE2A1_RECEIVER_PROGRAM_STRESS_TEST_REPORT.md
2A.2,Correct receiver framework and retest/rediscover programs,Admati normalized/ceiled public matrix; Zheng audit; preserved Yang evidence,pregnancy within cell type,Donor mean normalized expression plus log transform and limma; corrected ranked gene-set testing,Tier 1 frozen-20 retest separated from exploratory corrected rediscovery,GO_TO_PHASE2B_WITH_RESTRICTIONS,All 20 frozen hypotheses retained direction under the corrected model; 11 modules frozen; Zheng 3+2 cohort not reconstructable,Clinical confounding remained; external localization was sparse,ACTIVE_FROZEN,docs/PHASE2A2_RECEIVER_FRAMEWORK_CORRECTION_REPORT.md
2B,Independently validate frozen receiver programs in bulk placenta,Six Phase 1A.1 core cohorts,pregnancy/sample,"Within-cohort rank scores, cohort disease models, random-effects program meta-analysis","Robust support required FDR<0.05, direction agreement, >=75% cohort agreement, I2<=60%, stable LOO direction",GO_TO_PHASE3_WITH_RESTRICTIONS,19/19 sets estimable; zero robust constituent sets/modules; nine directional sets and five directional modules,"Bulk supports tissue-level program direction, not cell-type localization",FROZEN_LIMITED_DIRECTIONAL,docs/PHASE2B_BULK_PROGRAM_VALIDATION_REPORT.md
3,Define an independent reproducible hUC-MSC sender ligand universe,"GSE182158, GSE199071, GSE117837",independent donor and donor×passage stratum,Donor-aware baseline expression plus within-stratum licensing summaries,Robust baseline support across datasets/donors; licensing kept descriptive,GO_TO_PHASE4_WITH_RESTRICTIONS,214 robust S1/S2 sender candidates frozen (38 S1; 176 S2),Only two licensing donors and incomplete protein-level secretion evidence,ACTIVE_FROZEN,docs/PHASE3_HUCMSC_SENDER_PROGRAM_REPORT.md
4A,Blindly integrate frozen sender and receiver arms,214 senders; frozen R1/R2A/R2B receiver hierarchy,ligand-receiver-module axis with pregnancy-level receptor competence,NicheNet LR/targets plus generic signed OmniPath-CollecTRI layer,Separate compatibility from signed reversal; deterministic Tier A/B/C,GO_TO_PHASE4B_WITH_RESTRICTIONS,"1,284 axes; 791 target-compatible, 63 reversal-supported, 246 disease-concordant; 17 generic-signed-prior Tier A candidates",Signed prior was generic; 12/17 Tier A candidates had mixed direction; Module 10 had zero target-compatible axes,ACTIVE_FROZEN,docs/PHASE4A_SENDER_RECEIVER_INTEGRATION_REPORT.md
4B,"Triangulate the frozen 17 with external topology, protein, perturbation, PE and novelty evidence",Frozen 17 Phase 4A Tier A candidates,candidate and candidate-module axis,"Curated topology, candidate-specific literature/repository and perturbation audit",Unchanged deterministic multi-domain classification,REVISE_CANDIDATE_FRAMEWORK,Initial audit found no TRIANGULATED_HIGH_PRIORITY candidate,Candidate-name-first retrieval missed proteins present only in proteomics tables; protein dimension superseded by 4B.1,FROZEN_SUPERSEDED_PROTEIN_DIMENSION,docs/PHASE4B_EXTERNAL_TRIANGULATION_REPORT.md
4B.1,Correct completeness of hUC-MSC protein-source evidence,Frozen 17; four technically evaluable UC/WJ-MSC extracellular proteomic resources,candidate×proteomic dataset,Proteomics-first identifier-mapped audit,Only protein-source dimension updated; Phase 4B rules unchanged,GO_TO_FINAL_SYNTHESIS_WITH_RESTRICTIONS,15/17 candidates detected in hUC-MSC EV material; none confirmed in complete soluble-CM tables; ENPP1 became sole TRIANGULATED_HIGH_PRIORITY candidate,"EV evidence does not establish soluble secretion, placental exposure, direction, or efficacy",ACTIVE_FROZEN,docs/PHASE4B1_PROTEIN_SOURCE_COMPLETENESS_REPORT.md
