claim_id,supported_claim,maximum_allowed_wording,prohibited_overclaim,evidence_source,key_limitation,source_url
CLAIM01,The strict six-cohort gene-level meta-analysis yielded no STABLE PE genes under the preregistered rule.,No stable universal individual-gene PE signature was identified under the frozen criteria.,PE has no transcriptomic abnormalities.,results/01_phase1b/meta/pe_gene_meta_analysis.csv|results/01_phase1b/meta/stable_pe_genes.csv,Cross-platform effect heterogeneity and incomplete covariates,results/01_phase1b/meta/pe_gene_meta_analysis.csv|results/01_phase1b/meta/stable_pe_genes.csv
CLAIM02,Corrected pregnancy-level analysis localized PE-associated programs to selected placental cell states in Admati.,PE-associated interferon and related programs were localized to selected cell states in the corrected primary scRNA analysis.,These cell states were independently validated in bulk placenta.,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv,Primary localization largely depends on one scRNA dataset,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv
CLAIM03,Yang LOPE provided partial directional support for placental-stromal interferon themes.,The stromal interferon theme had partial independent LOPE scRNA directional support.,All receiver cell-type localizations replicated independently.,results/02_phase2a1/yang_lope_replication.csv|results/04_phase4a/freeze/phase4_receiver_hierarchy.csv,n=3 versus 3 and conservative mapping; SCT/Hofbauer limitations,results/02_phase2a1/yang_lope_replication.csv|results/04_phase4a/freeze/phase4_receiver_hierarchy.csv
CLAIM04,Five receiver modules showed bulk tissue-level directional support; none met robust module criteria.,Single-cell-defined programs showed limited directional support across independent bulk cohorts.,Hofbauer or SCT localization was validated by bulk.,results/02_phase2b/meta/program_module_validation.csv,Bulk cannot assign cellular origin,results/02_phase2b/meta/program_module_validation.csv
CLAIM05,Independent hUC-MSC datasets defined 214 robust transcriptomic S1/S2 sender candidates.,"A donor-aware, cross-dataset transcriptomic sender ligand universe was frozen.",All 214 ligands are secreted proteins or therapeutic mediators.,results/03_phase3/sender/frozen_phase4_sender_candidates.csv,Transcript abundance is not secretion or functional exposure,results/03_phase3/sender/frozen_phase4_sender_candidates.csv
CLAIM06,Licensing responses were described within donor×passage strata.,Inflammatory licensing altered availability of some sender transcripts in a donor/passage-dependent manner.,Licensing-up means therapeutically beneficial.,results/03_phase3/licensing/licensing_effect_by_donor_passage.csv,"Only two donors; licensing is context, not efficacy",results/03_phase3/licensing/licensing_effect_by_donor_passage.csv
CLAIM07,Blinded integration identified receptor and target compatibility between frozen sender and receiver arms.,Many frozen ligands were mechanistically compatible with PE receiver programs.,hUC-MSC ligands reverse PE programs.,results/04_phase4a/lr/sender_receiver_lr_compatibility.csv|results/04_phase4a/targets/nichenet_target_compatibility.csv,NicheNet compatibility is largely unsigned,results/04_phase4a/lr/sender_receiver_lr_compatibility.csv|results/04_phase4a/targets/nichenet_target_compatibility.csv
CLAIM08,"Generic signed priors yielded 17 Tier A candidates, with mixed direction retained.",Seventeen candidates satisfied a generic-signed-prior reversal rule.,The 17 are predicted therapeutic rescue factors.,results/04_phase4a/integration/phase4a_candidate_hierarchy.csv,Generic network propagation is not empirical placental reversal,results/04_phase4a/integration/phase4a_candidate_hierarchy.csv
CLAIM09,Fifteen of 17 candidates were detected in hUC/WJ-MSC EV protein resources.,Direct EV protein evidence supports extracellular-source plausibility for 15 candidates.,The proteins are soluble conditioned-medium factors.,results/04_phase4b1/candidate_protein_detection_matrix.csv,EV and soluble compartments are distinct,results/04_phase4b1/candidate_protein_detection_matrix.csv
CLAIM10,ENPP1 alone satisfied the unchanged TRIANGULATED_HIGH_PRIORITY rule after protein-source correction.,ENPP1 emerged as the only candidate satisfying the prespecified multi-domain triangulation rule.,ENPP1 mediates hUC-MSC therapy in PE.,results/04_phase4b1/corrected_phase4b_candidate_classification.csv,"EV-only source, non-placental perturbation, mixed receiver directions, no PE experiment",results/04_phase4b1/corrected_phase4b_candidate_classification.csv
CLAIM11,ENPP1 is the mechanically triangulated lead hypothesis.,ENPP1 is the leading experimentally testable communication hypothesis emerging from the frozen framework.,"ENPP1 is a validated therapeutic factor, protective mechanism, or established PE target.",results/final_synthesis/final_17_candidate_evidence.csv|results/04_phase4b1/corrected_phase4b_candidate_classification.csv,"Causality, placental exposure, direction and efficacy are untested",results/final_synthesis/final_17_candidate_evidence.csv|results/04_phase4b1/corrected_phase4b_candidate_classification.csv
CLAIM12,PROGRAM_MODULE_10 had zero target-compatible sender axes under the frozen rule.,No frozen sender connection was identified for the SCT oxidative-phosphorylation receiver.,External mitochondrial biology establishes a Phase4A Module10 axis.,results/04_phase4a/targets/nichenet_target_compatibility.csv,Frozen negative result cannot be rescued by later literature,results/04_phase4a/targets/nichenet_target_compatibility.csv
