program_module,module_label,celltype,frozen_direction,constituent_gene_set_n,corrected_module_status,corrected_direction_agree_both_proportion,corrected_any_constituent_fdr05,yang_evaluable_constituent_n,yang_direction_agree_n,yang_direction_disagree_n,zheng_eope_status,evidence_level,phase2b_program_validation_candidate,rationale,bulk_evidence_used,source_url
PROGRAM_MODULE_01,HOFBAUER_INTERFERON_SIGNALING_CORE,HOFBAUER,UP_IN_PE_PROGRAM,5,CORRECTED_ADMATI_SUPPORT,1,YES,0,0,0,NOT_RUN_EOPE_ESTIMAND_CONTRADICTION,LEVEL_B,YES_WITH_RESTRICTIONS,Corrected Admati support; Yang is not evaluable and Zheng targeted EOPE validation did not pass its audit gate.,NO_PHASE2B_LOCKED,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv
PROGRAM_MODULE_02,HOFBAUER_ANTIVIRAL_GENOME_RESTRICTION,HOFBAUER,UP_IN_PE_PROGRAM,1,CORRECTED_ADMATI_SUPPORT,1,YES,0,0,0,NOT_RUN_EOPE_ESTIMAND_CONTRADICTION,LEVEL_B,YES_WITH_RESTRICTIONS,Corrected Admati support; Yang is not evaluable and Zheng targeted EOPE validation did not pass its audit gate.,NO_PHASE2B_LOCKED,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv
PROGRAM_MODULE_03,HOFBAUER_INTERFERON_RESPONSE_HALLMARKS,HOFBAUER,UP_IN_PE_PROGRAM,2,CORRECTED_ADMATI_SUPPORT,1,YES,0,0,0,NOT_RUN_EOPE_ESTIMAND_CONTRADICTION,LEVEL_B,YES_WITH_RESTRICTIONS,Corrected Admati support; Yang is not evaluable and Zheng targeted EOPE validation did not pass its audit gate.,NO_PHASE2B_LOCKED,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv
PROGRAM_MODULE_04,HOFBAUER_IFN_STIMULATED_HOST_RESPONSE,HOFBAUER,UP_IN_PE_PROGRAM,1,CORRECTED_ADMATI_SUPPORT,1,YES,0,0,0,NOT_RUN_EOPE_ESTIMAND_CONTRADICTION,LEVEL_B,YES_WITH_RESTRICTIONS,Corrected Admati support; Yang is not evaluable and Zheng targeted EOPE validation did not pass its audit gate.,NO_PHASE2B_LOCKED,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv
PROGRAM_MODULE_05,MACROPHAGE_INTERFERON_ALPHA_BETA_SIGNALING,MACROPHAGE,UP_IN_PE_PROGRAM,1,CORRECTED_ADMATI_SUPPORT,1,YES,0,0,0,NOT_RUN_EOPE_ESTIMAND_CONTRADICTION,LEVEL_B,YES_WITH_RESTRICTIONS,Corrected Admati support; Yang is not evaluable and Zheng targeted EOPE validation did not pass its audit gate.,NO_PHASE2B_LOCKED,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv
PROGRAM_MODULE_06,PLACENTAL_STROMAL_INTERFERON_ALPHA_RESPONSE,PLACENTAL_STROMAL,UP_IN_PE_PROGRAM,1,CORRECTED_ADMATI_SUPPORT,1,YES,1,1,0,NOT_RUN_EOPE_ESTIMAND_CONTRADICTION,LEVEL_A,YES,Corrected Admati support plus independent Yang LOPE directional support.,NO_PHASE2B_LOCKED,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv
PROGRAM_MODULE_07,PLACENTAL_STROMAL_INTERFERON_ALPHA_BETA_SIGNALING,PLACENTAL_STROMAL,UP_IN_PE_PROGRAM,1,CORRECTED_ADMATI_SUPPORT,1,YES,1,1,0,NOT_RUN_EOPE_ESTIMAND_CONTRADICTION,LEVEL_A,YES,Corrected Admati support plus independent Yang LOPE directional support.,NO_PHASE2B_LOCKED,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv
PROGRAM_MODULE_08,PLACENTAL_STROMAL_IFN_STIMULATED_HOST_RESPONSE,PLACENTAL_STROMAL,UP_IN_PE_PROGRAM,1,CORRECTED_ADMATI_SUPPORT,1,YES,1,0,1,NOT_RUN_EOPE_ESTIMAND_CONTRADICTION,UNCLASSIFIED_FROZEN_HIERARCHY_GAP,NO_HOLD_EXTERNAL_DISCORDANCE,Corrected Admati support but evaluable Yang evidence is directionally discordant; frozen A-D definitions contain no honest category for this combination.,NO_PHASE2B_LOCKED,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv
PROGRAM_MODULE_09,SCT_MITOCHONDRIAL_RESPIRATION_CORE,SCT,DOWN_IN_PE_PROGRAM,4,CORRECTED_ADMATI_SUPPORT,1,YES,0,0,0,NOT_RUN_EOPE_ESTIMAND_CONTRADICTION,LEVEL_B,YES_WITH_RESTRICTIONS,Corrected Admati support; Yang is not evaluable and Zheng targeted EOPE validation did not pass its audit gate.,NO_PHASE2B_LOCKED,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv
PROGRAM_MODULE_10,SCT_OXIDATIVE_PHOSPHORYLATION_HALLMARK,SCT,DOWN_IN_PE_PROGRAM,1,CORRECTED_ADMATI_SUPPORT,1,YES,0,0,0,NOT_RUN_EOPE_ESTIMAND_CONTRADICTION,LEVEL_B,YES_WITH_RESTRICTIONS,Corrected Admati support; Yang is not evaluable and Zheng targeted EOPE validation did not pass its audit gate.,NO_PHASE2B_LOCKED,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv
PROGRAM_MODULE_11,SCT_REPLICATION_ORIGIN_TRANSITION,SCT,DOWN_IN_PE_PROGRAM,2,CORRECTED_ADMATI_SUPPORT,1,YES,0,0,0,NOT_RUN_EOPE_ESTIMAND_CONTRADICTION,LEVEL_B,YES_WITH_RESTRICTIONS,Corrected Admati support; Yang is not evaluable and Zheng targeted EOPE validation did not pass its audit gate.,NO_PHASE2B_LOCKED,results/02_phase2a2/corrected_analysis/corrected_program_modules.csv|results/02_phase2a2/external_validation/yang_lope_updated_evidence.csv|results/02_phase2a2/external_validation/zheng_eope_dataset_audit.csv
